,observation_id,endemic,binomial_name,code,image_path,class_id
0,117940,False,Bitis caudalis,ZA,168482.JPG,157
1,37280129,False,Amphiesma stolatum,TH,59067968.jpg,66
2,27445689,False,Lachesis muta,BR,42704088.jpg,857
3,68796818,True,Vipera berus,NL,111487306.jpeg,1736
4,68796816,False,Coronella austriaca,NL,111486989.jpeg,387
5,522708,False,Zamenis situla,HR,3001257.jpg,1783
6,522708,False,Zamenis situla,HR,3001258.jpg,1783
7,2670525,False,Elaphe quatuorlineata,HR,3000817.jpg,619
8,2670542,False,Elaphe quatuorlineata,HR,3000836.jpg,619
9,55724,False,Telescopus fallax,AM,87045.jpg,1608
10,4527251,False,Python natalensis,TZ,5483231.jpg,1422
11,2569662,False,Malpolon monspessulanus,IT,3001057.jpg,1008
12,1020058,False,Bitis arietans,ZW,1250456.jpg,154
13,1020058,False,Bitis arietans,ZW,1250457.jpg,154
14,1020058,False,Bitis arietans,ZW,1250458.jpg,154
15,125278,False,Psammophis subtaeniatus,unknown,177356.JPG,1353
16,221805,False,Eunectes murinus,VE,279381.jpg,694
17,221805,False,Eunectes murinus,VE,279382.jpg,694
18,125665,False,Crotalus simus,CR,177869.JPG,431
19,37315747,False,Ophiophagus hannah,TH,59128457.jpg,1190
20,1082146,False,Bothrops atrox,GY,1358764.JPG,224
21,2406860,False,Helicops angulatus,VE,2685631.jpg,773
22,2621175,False,Eunectes murinus,VE,2934002.jpg,694
23,2864916,False,Eunectes murinus,VE,3270482.jpeg,694
24,2652373,False,Eunectes murinus,VE,2979530.jpg,694
25,96086059,False,Eunectes murinus,VE,159586790.jpg,694
26,105141797,True,Masticophis flagellum,US,176344125.jpg,1013
27,105141797,True,Masticophis flagellum,US,176345561.jpg,1013
28,36819395,False,Zamenis longissimus,CZ,58265877.jpg,1780
29,54847,True,Macrovipera lebetinus,AM,85873.jpg,998
30,55725,False,Telescopus fallax,AM,87048.jpg,1608
31,1075558,False,Xenodon rabdocephalus,EC,1348224.JPG,1765
32,20914250,False,Bothrops atrox,VE,32277739.jpg,224
33,20914250,False,Bothrops atrox,VE,32277740.jpg,224
34,20914250,False,Bothrops atrox,VE,32277743.jpg,224
35,20914349,False,Bothrops atrox,VE,32277800.jpg,224
36,117796,False,Erythrolamprus poecilogyrus,PY,168332.JPG,673
37,117815,False,Bothrops alternatus,PY,168355.JPG,221
38,117820,False,Xenodon merremii,PY,168361.JPG,1762
39,1082182,False,Crotalus durissus,PY,1358840.JPG,412
40,1082182,False,Crotalus durissus,PY,1358841.JPG,412
41,53777799,False,Python sebae,SN,85544809.jpg,1424
42,122277,False,Philodryas patagoniensis,PY,174407.JPG,1267
43,117806,False,Oxyrhopus rhombifer,PY,168350.JPG,1226
44,5940796,False,Lampropeltis splendida,unknown,7416148.jpg,880
45,64034131,False,Psammophis mossambicus,ZA,102876421.jpg,1346
46,69038144,False,Atractaspis bibronii,ZA,111935033.jpeg,113
47,2460573,False,Storeria occipitomaculata,US,2753168.jpg,1553
48,125213,False,Dispholidus typus,TZ,177264.JPG,562
49,145950,False,Drymobius margaritiferus,US,201486.jpg,573
50,60237321,False,Dipsas catesbyi,VE,96296297.jpg,540
51,522546,False,Xerotyphlops vermicularis,GR,2992029.jpg,1775
52,37280116,False,Bothrops atrox,VE,59067954.jpg,224
53,34204884,False,Bothrops atrox,PE,53803545.jpg,224
54,41011392,False,Micrurus nigrocinctus,NI,65024749.jpg,1072
55,49563464,False,Ophiophagus hannah,IN,78681344.jpg,1190
56,36389579,False,Naja nivea,BW,57517277.jpg,1119
57,70425401,False,Coluber constrictor,CA,114486774.jpg,358
58,70425401,False,Coluber constrictor,CA,114486777.jpg,358
59,70425401,False,Coluber constrictor,CA,114486784.jpg,358
60,70425401,False,Coluber constrictor,CA,114486786.jpg,358
61,38374391,False,Spilotes pullatus,BZ,60980663.jpg,1545
62,19010988,False,Dolichophis caspius,BG,29153990.jpg,563
63,637662,False,Coronella austriaca,GB,801826.JPG,387
64,38374389,False,Ninia sebae,BZ,60980430.jpg,1156
65,522698,False,Telescopus fallax,GR,669201.JPG,1608
66,33875444,False,Leptophis ahaetulla,EC,53252583.jpeg,912
67,33875444,False,Leptophis ahaetulla,EC,53458018.jpg,912
68,8954120,False,Erythrolamprus poecilogyrus,BO,12067900.jpeg,673
