,number,value,datetime_start,datetime_complete,duration,params_augmentation_strength,params_label_smoothing,params_lr_backbone,params_lr_heads_bin,params_lr_heads_multi,params_weight_decay,state
0,0,5.957276153564453,2025-11-25 04:45:51.024231,2025-11-25 04:53:26.554602,0 days 00:07:35.530371,1,0.031198904067240532,2.9106359131330718e-05,0.0001329291894316216,0.0071144760093434225,0.0002481040974867811,COMPLETE
1,1,5.998642301559448,2025-11-25 04:53:26.876665,2025-11-25 05:01:16.798185,0 days 00:07:49.921520,1,0.19398197043239887,1.5930522616241016e-05,1.493656855461762e-05,0.003967605077052989,0.0006796578090758161,COMPLETE
2,2,6.142939949035645,2025-11-25 05:01:17.094950,2025-11-25 05:09:11.088043,0 days 00:07:53.993093,2,0.10495128632644757,2.310201887845294e-06,0.00314288089084011,4.335281794951564e-05,5.415244119402541e-06,COMPLETE
3,3,6.091964888572693,2025-11-25 05:09:11.389796,2025-11-25 05:17:05.795394,0 days 00:07:54.405598,2,0.07327236865873835,1.6738085788752145e-05,0.00019762189340280086,7.476312062252303e-05,3.6138942712165278e-06,COMPLETE
4,4,5.950280427932739,2025-11-25 05:17:06.083069,2025-11-25 05:25:01.515534,0 days 00:07:55.432465,3,0.009290082543999545,2.5081156860452325e-06,0.00023345864076016249,0.0022673986523780395,0.00011400863701127338,COMPLETE
5,5,6.2319786071777346,2025-11-25 05:25:01.798890,2025-11-25 05:26:33.506117,0 days 00:01:31.707227,5,0.16167946962329224,1.3492834268013243e-06,0.0006647135865318024,3.247673570627447e-05,0.006245139574743076,PRUNED
6,6,6.353986072540283,2025-11-25 05:27:13.916774,2025-11-25 05:28:41.552120,0 days 00:01:27.635346,1,0.09903538202225404,2.3359635026261618e-05,8.200518402245828e-05,1.9634341572933304e-05,5.762487216478604e-05,PRUNED
7,7,5.981788372993469,2025-11-25 05:29:21.943680,2025-11-25 05:37:06.390637,0 days 00:07:44.446957,2,0.10401360423556216,3.292759134423615e-06,1.2681352169084594e-05,0.00534516611064682,0.0004467752817973908,COMPLETE
8,8,6.19785213470459,2025-11-25 05:37:06.674989,2025-11-25 05:38:37.844574,0 days 00:01:31.169585,5,0.17896547008552977,8.692991511139554e-05,0.00043664735929796326,3.585612610345396e-05,0.001260466458564947,PRUNED
9,9,5.987782382965088,2025-11-25 05:39:18.248611,2025-11-25 05:47:01.217593,0 days 00:07:42.968982,1,0.06506606615265287,1.5030900645056814e-06,0.0006218704727769079,0.00582938454299474,6.0803901902966035e-06,COMPLETE
